Question,Timestamp,Team,Wager,Answer,Correct (x),Points
1-Jan,12/13/2020 19:11,Fellowship of the Beer,5,17,x,5
1-Jan,12/13/2020 19:11,I Am Groot,5,17,x,5
1-Jan,12/13/2020 19:11,Team Bag-Bo,0,No guess,,0
1-Jan,12/13/2020 19:11,Skinny Legends,0,NaN,,0
1-Jan,12/13/2020 19:11,Mack Wickell,0,I forget rip but did you see the Bucs game today? Viking kicker misseed 3 fgs and an xp,,0
1-Jan,12/13/2020 19:11,"Not Great, Not Terrible",0,Not answering,,0
1-Jan,12/13/2020 19:12,Team Matigale,0,not gonna guess :/,,0
1-Jan,12/13/2020 19:12,Team MBF,0,not guessing,,0
2-Jan,12/13/2020 19:13,Team MBF,5,Defense,x,5
2-Jan,12/13/2020 19:13,"Not Great, Not Terrible",5,Defense,x,5
2-Jan,12/13/2020 19:13,Mack Wickell,0,Secretary. Secretary of secretary of the secratary is still undecided,,0
2-Jan,12/13/2020 19:13,Team Matigale,5,Secretary of Defense,x,5
2-Jan,12/13/2020 19:13,Skinny Legends,5,defense,x,5
2-Jan,12/13/2020 19:13,I Am Groot,5,Defense,x,5
2-Jan,12/13/2020 19:13,Team Bag-Bo,5,Secretary of Defense,x,5
2-Jan,12/13/2020 19:14,Fellowship of the Beer,5,Defense,x,5
