Question,Timestamp,Team,Wager,Answer,Correct (x),Points
1-Jan,12/13/2020 19:56,Fellowship of the Beer,10,White Rhinoceros,,-5
1-Jan,12/13/2020 19:56,I Am Groot,2,Narwhal,,-1
1-Jan,12/13/2020 19:56,Team Matigale,2,White Rhinoceros,,-1
1-Jan,12/13/2020 19:57,Team Bag-Bo,2,no clue,,-1
1-Jan,12/13/2020 19:57,Mack Wickell,2,White rhino,,-1
1-Jan,12/13/2020 19:57,Skinny Legends,2,wrinkley dude,,-1
1-Jan,12/13/2020 19:57,"Not Great, Not Terrible",2,White rhino,,-1
1-Jan,12/13/2020 19:57,Team MBF,2,armored rhino,,-1
2-Jan,12/13/2020 19:59,Skinny Legends,5,no ice,,-2.5
2-Jan,12/13/2020 20:00,Team Bag-Bo,10,On the house,,-5
2-Jan,12/13/2020 20:00,Team MBF,2,on the rocks,x,2
2-Jan,12/13/2020 20:00,I Am Groot,4,On the rocks,x,4
2-Jan,12/13/2020 20:00,Team Matigale,2,on the rocks,x,2
2-Jan,12/13/2020 20:00,Mack Wickell,2,On the rocks,x,2
2-Jan,12/13/2020 20:00,Fellowship of the Beer,2,"Frosted, but you are asking for it to be cold",,-1
2-Jan,12/13/2020 20:01,"Not Great, Not Terrible",11,On the rocks (with ice),x,11
