Question,Timestamp,Team,Wager,Answer,Correct (x),Points
1-1,11/22/2020 19:56:17,"Not Great, Not Terrible",10,"Posh, Scary, Baby, Sporty, Ginger",x,10
1-1,11/22/2020 19:56:26,Blazin Asian,2,"i have 0 shot on this. becky, sally, mary, lisa, and anne",,-1
1-1,11/22/2020 19:56:33,Team Bag-Bo,2,Bhaddie Spice,,-1
1-1,11/22/2020 19:57:24,Josh Allen is Elite,2,"Sporty, Posh, Scary, ",,-1
1-1,11/22/2020 19:57:57,Team Matigale,10,"posh, scary, sporty, baby, ginger",x,10
1-1,11/22/2020 19:58:26,Team Jax,2,"Posh, Sporty, Fancy, Glamor, lioness",,-1
1-1,11/22/2020 19:59:00,Fellowship of the Beer,2,"Posh spice, baby spice, ginger spice, angry spice, little spice",,-1
1-1,11/22/2020 20:00:22,Team MBF,2,"sporty, baby, scary, posh, and sexy?",,-1
1-1,,Skinny Legends,2,,,-1
1-2,11/22/2020 20:03:41,Team Jax,10,HIllary Clinton and Jill Stein,,-5
1-2,11/22/2020 20:03:50,Team Bag-Bo,10,Jill Stein and Hillary Clinton,,-5
1-2,11/22/2020 20:04:03,"Not Great, Not Terrible",2,Hillary Clinton and Jill Stein,,-1
1-2,11/22/2020 20:04:22,Skinny Legends,8,clinton and warren (i think this is the correct wager),,-4
1-2,11/22/2020 20:04:28,Blazin Asian,2,"hillary clinton, michelle obama",,-1
1-2,11/22/2020 20:05:14,Josh Allen is Elite,10,"Hillary Clinton, Jill Stein",,-5
1-2,11/22/2020 20:05:22,Fellowship of the Beer,2,Hilary Clinton and Lisa Strayer ,,-1
1-2,11/22/2020 20:05:40,Team Matigale,10,"hillary clinton, jill stein",,-5
1-2,11/22/2020 20:06:16,Team MBF,10,Hillary Clinton and Jill Stein ,,-5
