Question,Timestamp,Team,Wager,Answer,Correct (x),Points
1-1,10/25/2020 16:16:28,Josh Allen is 5-2,0,Not Answering,,0
1-1,10/25/2020 16:16:28,Team MBF,0,no answer,,0
1-1,10/25/2020 16:16:34,Fellowship of the Beer,0,shoulder shrug emoji,,0
1-1,10/25/2020 16:16:45,Team Carmela,0,no lo sé,,0
1-1,10/25/2020 16:16:55,Team Bag-Bo is gunning for number 1 today,0,No answer,,0
1-1,10/25/2020 16:17:06,Hottentottententententoonstellin,0,If it is 2014 I'm going to be sad,,0
1-1,10/25/2020 16:17:10,Team Matigale!,0,no comment :(,,0
1-1,10/25/2020 16:18:22,Skinny Legends,0,no answer,,0
1-2,10/25/2020 16:19:40,Josh Allen is 5-2,0,Still don't know,,0
1-2,10/25/2020 16:19:55,Team MBF,0,no answer,,0
1-2,10/25/2020 16:20:41,Fellowship of the Beer,5,2/3rds,,-2.5
1-2,10/25/2020 16:20:46,Hottentottententententoonstellin,5,67,,-2.5
1-2,10/25/2020 16:20:49,Team Carmela,0,no lo sé,,0
1-2,10/25/2020 16:20:59,Skinny Legends,5,66,,-2.5
1-2,10/25/2020 16:21:08,Team Bag-Bo is gunning for number 1 today,0,no answer,,0
1-2,10/25/2020 16:22:10,Team Matigale!,0,67 (super majority),,-2.5
