Question,Timestamp,Team,Wager,Answer,Correct (x),Points
1-1,11/15/2020 19:45:10,Team MBF,8,water spout ,,-4
1-1,11/15/2020 19:45:29,Team Bag-Bo,2,Gust,,-1
1-1,11/15/2020 19:45:38,Mack Wickell,4,Eddy,,-2
1-1,11/15/2020 19:45:50,Fellowship of the Beer,2,updraft,,-1
1-1,11/15/2020 19:45:54,"Not Great, Not Terrible",6,dust devil,x,6
1-1,11/15/2020 19:46:21,Team Matigale,10,cyclone,,-5
1-2,11/15/2020 19:48:06,Team Matigale,10,Some Nights (by Fun.),x,10
1-2,11/15/2020 19:49:27,Mack Wickell,4,Radioactive,,-2
1-2,11/15/2020 19:49:32,"Not Great, Not Terrible",8,Some Nights,x,8
1-2,11/15/2020 19:50:23,Fellowship of the Beer,2,B Rated Lose Yourself,,-1
1-2,11/15/2020 19:50:26,Team Bag-Bo,10,Some Nights,x,10
1-2,11/15/2020 19:51:02,Team MBF,2,sadly dont remember ,,-1
