Question,Timestamp,Team,Wager,Answer,Correct (x),Points
1-Jan,12/6/2020 19:46,Fellowship of the Beer,10,Tittle,x,10
1-Jan,12/6/2020 19:46,Skinny Legends,4,inlau,,-2
1-Jan,12/6/2020 19:46,Team MBF,2,umlat,,-1
1-Jan,12/6/2020 19:46,Team Bag-Bo,2,dot,,-1
1-Jan,12/6/2020 19:46,Josh Allen is Elite,2,"lau (as in, umlau without the um)",,-1
1-Jan,12/6/2020 19:47,"Not Great, Not Terrible",2,Dot,,-1
1-Jan,12/6/2020 19:47,Team Matigale,2,no thoughts head empty,,-1
1-Jan,12/6/2020 19:47,Team Jax,1,diactric dot,x,1
2-Jan,44171.8261,Team Jax,10,snickers,x,10
2-Jan,12/6/2020 19:49,Skinny Legends,10,payday,,-5
2-Jan,12/6/2020 19:50,Team Bag-Bo,2,The Charlston Chew,,-1
2-Jan,12/6/2020 19:50,Team MBF,2,Mr. Goodbar,,-1
2-Jan,12/6/2020 19:50,Josh Allen is Elite,10,Snickers,x,10
2-Jan,12/6/2020 19:51,Fellowship of the Beer,8,100 Grand,,-4
2-Jan,12/6/2020 19:51,Team Matigale,2,Twix,,-1
2-Jan,12/6/2020 19:53,"Not Great, Not Terrible",6,Snickers,x,6
