Question,Timestamp,Team,Wager,Answer,Correct (x),Points
1-1,9/20/2020 19:13:37,Team Bag-Bo,0,we don't know,,0
1-1,9/20/2020 19:13:43,Skinny Legends,0,shrug,,0
1-1,9/20/2020 19:14:15,Team Jax,5,Seahawks Falcons,x,5
1-1,9/20/2020 19:14:22,Team Matigale,5,Eagles v Falcons ,,-2.5
1-1,9/20/2020 19:14:26,Mack Wickell,5,"Eagles, Ravens",,-2.5
1-1,9/20/2020 19:14:30,Team MBF,5,Eagles and Falcons ,,-2.5
1-1,9/20/2020 19:14:35,Blazin Asian,5,Seahawks Falcons,x,5
1-1,9/20/2020 19:14:47,Fellowship of the Beer,5,Falcons vs Seahawks,x,5
1-2,9/20/2020 19:15:47,Team Jax,0,No Answer,,0
1-2,9/20/2020 19:15:48,Team Bag-Bo,5,27,x,5
1-2,9/20/2020 19:15:50,Team MBF,5,27 years ,x,5
1-2,9/20/2020 19:16:07,Mack Wickell,0,"Pi (please note, this irrational answer is not to be construed under any circumstances as an actual answer)",,0
1-2,9/20/2020 19:16:17,Skinny Legends,5,27,x,5
1-2,9/20/2020 19:16:24,Blazin Asian,0,not sure,,0
1-2,9/20/2020 19:16:42,Fellowship of the Beer,5,27,x,5
1-2,9/20/2020 19:16:48,Team Matigale,5,27,x,5
