Question,Timestamp,Team,Wager,Answer,Correct (x),Points
1-1,10/4/2020 19:51:21,Fellowship of the Beer,10,Holy,x,10
1-1,10/4/2020 19:51:22,Team MBF,10,Holy,x,10
1-1,10/4/2020 19:51:26,Team Bag-Bo,10,Holy,x,10
1-1,10/4/2020 19:51:35,Team Matigale,10,Holy,x,10
1-1,10/4/2020 19:51:53,QotD,4,Holy vow,x,4
1-1,10/4/2020 19:51:54,Mack Wickell,2,Satisfied,,-1
1-1,10/4/2020 19:52:22,Team Jax,10,Holy,x,10
1-1,10/4/2020 19:52:25,Skinny Legends,10,holy,x,10
1-2,10/4/2020 19:54:24,Fellowship of the Beer,10,"Olympus Has Fallen, White House Down",x,10
1-2,10/4/2020 19:54:43,Mack Wickell,2,"Lincoln & Abraham Lincoln, Vampire Slayer",,-1
1-2,10/4/2020 19:55:28,Team Bag-Bo,10,White House Down and Olympus Has Fallen,x,10
1-2,10/4/2020 19:55:35,Team Jax,10,White House Down & Olympus Has Fallen,x,10
1-2,10/4/2020 19:55:44,QotD,2,Olympus falls,x,2
1-2,10/4/2020 19:56:27,Team MBF,2,The Hurt Locker? ,,-1
1-2,10/4/2020 19:56:42,Team Matigale,6,"Olympus has Fallen, White House Down",x,6
1-2,10/4/2020 19:57:01,Skinny Legends,10,olympus has fallen and white house down,x,10
