Question,Timestamp,Team,Wager,Answer,Correct (x),Points
1-1,10/4/2020 19:10:18,Mack Wickell,0,I have no idea but I really should,,0
1-1,10/4/2020 19:10:20,Team Matigale,5,"Cleveland, OH",x,5
1-1,10/4/2020 19:10:45,Team Bag-Bo,5,Ohio,,-2.5
1-1,10/4/2020 19:10:55,Team MBF,5,Columbus ,,-2.5
1-1,10/4/2020 19:11:12,Fellowship of the Beer,5,"Cleveland, Ohio (Clownin' In Brown Town)",x,5
1-1,10/4/2020 19:11:14,QotD,5,Clevelsnd,x,5
1-1,10/4/2020 19:11:19,Skinny Legends,5,cleveland,x,5
1-1,10/4/2020 19:11:19,Team Jax,0,no sé,,0
1-2,10/4/2020 19:11:51,Fellowship of the Beer,5,She had a miscarriage,x,5
1-2,10/4/2020 19:11:54,Skinny Legends,5,she lost the baby ):,x,5
1-2,10/4/2020 19:11:54,Mack Wickell,0,She finally learned how to count to two,,0
1-2,10/4/2020 19:11:57,Team Jax,5,Miscarriage,x,5
1-2,10/4/2020 19:11:57,Team MBF,5,That she miscarried :( ,x,5
1-2,10/4/2020 19:12:01,QotD,5,Had a miscartiage,x,5
1-2,10/4/2020 19:12:37,Team Matigale,5,she had a miscarriage,x,5
1-2,10/4/2020 19:12:53,Team Bag-Bo,0,Abstain,,0
